study_hours,gender_code,score
3.473409,0,28.362991
1.276328,0,32.212821
4.413623,0,41.765790
3.699575,0,40.761494
1.208387,1,45.097931
6.701981,1,69.381620
7.769705,0,44.119505
4.945583,1,53.084042
7.318726,0,49.792492
3.402535,0,37.850192
5.278317,0,31.988578
5.278939,0,36.757083
1.728147,1,60.719960
9.501173,1,90.924881
9.422261,1,100.320056
8.764720,1,105.810615
9.369160,0,48.487555
6.145495,0,32.425038
5.974379,1,73.367638
5.273671,1,69.955457
1.745565,0,33.125820
1.070012,1,48.928299
8.560054,0,44.930968
7.044697,0,41.515183
5.494950,1,77.224916
2.158651,0,27.545142
5.219705,0,27.284093
4.247370,0,40.162204
3.951194,0,35.588452
9.007252,0,47.602445
3.971293,1,53.246203
1.544424,1,58.924610
9.706962,1,88.131482
4.486070,0,36.568950
6.372816,1,78.041117
9.654259,0,45.666257
2.176210,1,53.599934
9.302274,1,82.592674
8.084812,0,41.548063
9.913438,1,96.519819
9.156683,0,52.038693
1.562445,1,58.528846
8.432857,0,33.512532
8.839187,0,42.789466
8.392415,1,94.159902
7.335082,1,78.115435
1.970067,0,24.681060
2.691899,0,33.339989
9.136228,0,50.758147
2.213093,0,23.024023
6.039598,1,88.375524
5.037628,0,47.276943
7.712236,1,68.864975
1.876306,1,55.667921
7.337143,0,47.648637
2.310594,1,57.813654
6.078338,1,80.050163
8.653957,0,41.280332
7.473435,0,50.529396
8.375680,1,87.042026
3.388724,0,40.651163
3.087201,0,28.744433
5.536746,1,76.477995
2.090934,0,31.695045
5.556374,0,50.558087
7.491604,0,28.868422
7.655389,1,68.706277
8.870067,0,52.548602
7.815557,1,88.419645
5.519647,0,36.409062
9.560211,1,96.787199
2.244955,0,23.856685
4.284328,1,60.923362
5.723225,1,75.097749
6.147104,1,90.812309
3.428138,1,61.037900
6.527035,0,48.570662
6.116149,1,80.094500
1.039495,1,60.688560
9.875319,1,90.852768
8.116813,0,46.232281
3.736640,0,42.894260
7.150852,0,44.488967
4.847865,0,41.625228
3.198087,0,36.315211
4.209836,1,66.976320
2.247181,1,61.768216
2.975310,0,35.830967
5.049069,0,35.577926
4.310289,0,41.530887
1.509528,0,38.825118
5.817849,0,50.238039
1.644263,1,50.280416
1.524465,0,35.005575
4.096478,0,8.175653
2.428841,0,36.237310
1.216960,0,26.495433
3.613241,1,55.123219
2.706653,1,53.014986
5.917312,0,48.157298
5.821740,1,56.436093
2.174413,1,61.054610
2.141217,0,21.377931
9.010448,0,64.839121
2.896974,0,52.849252
9.205188,1,84.748279
1.866372,0,36.589316
2.616103,1,54.619358
1.827320,1,48.634455
3.664687,1,75.202114
5.575858,0,40.990399
3.385291,0,21.176830
7.506227,1,79.453725
4.036447,1,72.893390
3.753455,0,28.312313
9.274695,0,59.603568
2.898431,1,45.859961
5.890916,1,85.586602
1.235483,0,27.064019
9.109158,0,42.613235
3.602457,1,60.403039
9.447960,0,42.663373
8.773298,0,47.021235
1.144188,0,30.258465
4.413122,1,59.855322
2.139356,1,48.679511
7.595799,0,55.740353
2.628458,0,31.017232
6.884030,0,44.849185
4.171296,1,61.132462
3.971922,1,54.767855
5.366305,0,50.216695
1.890073,1,65.205736
6.086885,1,79.418170
2.773142,1,76.111668
3.280228,0,48.608972
6.189933,1,93.475007
5.328645,0,45.126321
8.035972,1,82.863626
1.973394,1,58.153468
8.988583,0,51.664752
6.801010,1,57.599685
5.524467,1,66.650356
1.292130,1,39.673571
8.499782,0,76.482332
5.432827,0,51.901187
8.292719,0,41.314100
4.888430,0,45.009042
3.508580,0,22.874948
4.739859,1,53.958025
3.247358,1,66.652865
2.782449,0,31.271737
2.933815,1,66.042292
8.387282,1,83.665800
5.710057,0,39.119085
7.925010,1,79.772964
8.390616,0,41.882321
2.752187,0,44.730019
5.980024,1,79.508792
2.760097,0,38.280949
5.752897,0,45.317351
2.486079,0,34.847441
5.896508,1,85.114724
2.787359,0,29.903410
1.715867,1,40.614522
6.077375,1,65.532198
1.401297,0,26.502180
3.124609,1,65.581066
6.358518,0,47.651581
5.413910,1,74.073109
1.101218,0,35.146366
6.070325,1,76.839080
6.706135,0,44.673272
4.345428,1,74.992908
8.830635,0,42.834047
3.666147,1,58.141073
3.292790,0,38.455688
1.246092,0,15.514390
6.213955,1,67.044893
5.259382,0,48.246342
1.723847,1,36.944186
7.576975,1,78.380253
7.228122,0,46.777862
2.065497,1,54.793902
4.238455,0,42.268773
3.448567,1,64.821556
4.765117,0,42.288771
3.730628,0,30.516555
1.272055,1,45.963043
1.183271,1,53.416575
7.194464,0,32.675337
2.894070,0,50.321444
8.018875,1,90.649182
9.877904,1,95.448924
2.925724,1,63.307761
2.750787,0,30.298996
1.994435,0,46.904118
8.966196,0,46.188163
5.970996,0,29.678470
8.613902,0,34.797764
